DESTINATION;SOURCE
TcpIpGateway;gateway
cModContrUpg2;year.upgd2
cModContrUpg1;year.upgd1
cGarYear;year
dModYearUpg2;warranty.upgd2
dModYearUpg1;warranty.upgd1
cFKunit;unit
dPostGarContrUp1;term.after
cGarSupplier;supplier
SerialNo;serial.no
cFKroom;room
IFKPower;power
cFKPartNumber;part.no
OptecUsed;optic.used
OpticAll;optic.total
cNameByContractSupp;name.by.contract
cVendor;model.vendor
cModelName;model.name
cMaterial;material
TcpIpMaskFK;mask
PhysicalAddress;mac
cLocation;loc.name
TcpIpAddress;ip
cFKInventoryNumber;inventory.no
cFKidnumber;identity.no
TcpIpHostName;hostname
cGroup;group
iFKfloor;floor
dGarSupTerm;supplier.term
dGarDevTerm;developer.term
CopperUsed;cuprum.used
CopperAll;cuprum.total
cCupboard;cupboard
cContractModern2Name;contract.upgd2
cContractModernName;contract.upgd1
cContractGuaranteeName;contract.after
cContractSuppName;contract
cPostGatContr;company.after
cCiType;ci.type
cFKpurpose;ci.title
cCiSubType;ci.subtype
cFKITSystemGK;ci.subsystem
cStatus;ci.status
cFKoperationSrv;ci.parent
cArea;ci.area
