cCiType;cCiSubType;cFKpurpose;cFKoperationSrv;cFKITSystemGK;cVendor;cModelName;SerialNo;cFKPartNumber;cFKidnumber;cFKInventoryNumber;cFKunit;iFKfloor;cFKroom;cCupboard;cLocation;dept;cMaterial;admin;cStatus;cArea;cGroup;cGarSupplier;cContractSuppName;cNameByContractSupp;dGarSupTerm;dGarDevTerm;cGarYear;cPostGatContr;cContractGuaranteeName;dPostGarContrUp1;cContractModernName;dModYearUpg1;cModContrUpg1;cContractModern2Name;dModYearUpg2;cModContrUpg2;lCPUSpeedMHz;lCPUNumber;lNumCorePerCPU;Activated;RAMVolumeFK;ram.slots.amount;ram.slots.used.amount;hdType1;hdQuantity1;hdVolume1;hdType2;hdQuantity2;hdVolume2;hdType3;hdQuantity3;hdVolume3;hdFreeSlots;IFKPower;CopperAll;CopperUsed;OpticAll;OptecUsed;cFKsobol;TcpIpHostName;TcpIpAddress;TcpIpMaskFK;TcpIpGateway;PhysicalAddress;FKctrlHost;FKctrlIP;FKctrlMask;FKctrlDomain;FKctrlMAC;cFKtofk;cUser;bUseCupboard;cCity;iLoadNum;cParentModelName;cAdmin;cStore;cNatureName
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822000D;;9900-01-001584 СУЭ;;;1;Маш. зал 2;9907(2RF20.05);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK029;10.140.229.170;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220015;;9900-01-001585 СУЭ;;;1;Маш. зал 2;9907(2RF20.05);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK030;10.140.229.171;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220014;;9900-01-001586 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK031;10.140.229.172;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220018;;9900-01-001587 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK040;10.140.229.181;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822000B ;;9900-01-001588 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK041;10.140.229.182;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220016;;9900-01-001589 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK100;10.140.229.241;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822001E ;;9900-01-001590 СУЭ;;;1;Маш. зал 2;9907(2RF20.05);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK101;10.140.229.242;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220017;;9900-01-001591 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;;;;;;;6;590;4;1;4;4;;;;;;;GRD-KK-RACK102;10.140.229.243;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220024;;9900-01-001592 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK032;10.140.229.173;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220025;;9900-01-001593 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK033;10.140.229.174;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
