DESTINATION;SOURCE
cStore;cStore
cStatus;ci.status
FKctrlDomain;ctrl.gateway
cFKsobol;skzi
cNatureName;cNatureName
cCupboard;cupboard
CopperUsed;cuprum.used
CopperAll;cuprum.total
hdFreeSlots;disk.slots.free
hdQuantity3;disk.amount3
hdQuantity2;disk.amount2
hdQuantity1;disk.amount1
hdVolume3;disk.volume3
hdVolume2;disk.volume2
hdVolume1;disk.volume1
hdType3;disk.type3
hdType2;disk.type2
hdType1;disk.type1
OptecUsed;optic.used
OpticAll;optic.total
Activated;active.amount
bUseCupboard;bUseCupboard
FKctrlMask;ctrl.mask
FKctrlMAC;ctrl.mac
FKctrlIP;ctrl.ip
FKctrlHost;ctrl.host
IFKPower;power
iFKfloor;floor
TcpIpHostName;hostname
PhysicalAddress;mac
TcpIpAddress;ip
SerialNo;serial.no
cPartNo;part.no
cFKunit;unit
cFKroom;room
cFKpurpose;ci.title
cGroup;group
cLocation;loc.name
cCity;cCity
cCiSubType;ci.subtype
cCiType;ci.type
cArea;ci.area
cAdmin;cAdmin
cMaterial;material
cModelName;model.name
cVendor;model.vendor
cParentModelName;cParentModelName
iLoadNum;iLoadNum
lCPUNumber;cpu.amount
lNumCorePerCPU;cpu.core.amount
lCPUSpeedMHz;cpu
RAMVolumeFK;ram
cFKPartNumber;part.no
cFKoperationSrv;ci.parent
cFKITSystemGK;ci.subsystem
cFKInventoryNumber;inventory.no
cFKidnumber;identity.no
cNameByContractSupp;name.by.contract
cGarSupplier;supplier
cGarYear;year
cPostGatContr;company.after
cContractGuaranteeName;contract.after
cContractModernName;contract.upgd1
cModContrUpg1;year.upgd1
cContractModern2Name;contract.upgd2
cModContrUpg2;year.upgd2
dGarDevTerm;developer.term
cContractSuppName;contract
dPostGarContrUp1;term.after
dModYearUpg1;warranty.upgd1
dModYearUpg2;warranty.upgd2
dGarSupTerm;supplier.term
TcpIpGateway;gateway
TcpIpMaskFK;mask
cFKtofk;cFKtofk
cUser;cUser
